x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,y
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.725575317552083e-05,2.725575317552083e-05,0.00013627876587760416,2.0441814882747915e-05,2.0441814882747915e-05,0.00010220907441373957,1.6353451906608347e-05,1.6353451906608347e-05,8.176725953304174e-05,1.3627876589025893e-05,1.3627876589025893e-05,6.813938294512947e-05,1.1681037076403834e-05,1.1681037076403834e-05,5.840518538201917e-05,-0.8660390313393518,-0.8660390313393518,-4.3301951566967585,-0.9999999997910661,-0.9999999997910661,-4.999999998955331,-0.9510514626734247,-0.9510514626734247,-4.755257313367124,-0.8660185897657253,-0.8660185897657253,-4.330092948828627,-0.7818241994071984,-0.7818241994071984,-3.909120997035992,-1.3765752337787358
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011663539436310197,0.011663539436310197,0.058317697181550984,0.008747741354122896,0.008747741354122896,0.04373870677061448,0.006998225215680992,0.006998225215680992,0.03499112607840496,0.005831868891954768,0.005831868891954768,0.02915934445977384,0.004998752282121898,0.004998752282121898,0.02499376141060949,-0.8717982652512463,-0.8717982652512463,-4.358991326256231,-0.9999617377786019,-0.9999617377786019,-4.999808688893009,-0.9488706564171857,-0.9488706564171857,-4.744353282085928,-0.8630947421504028,-0.8630947421504028,-4.3154737107520145,-0.7787050433204745,-0.7787050433204745,-3.893525216602373,0.8787824487036073
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01594888722174396,0.01594888722174396,0.07974443610871979,0.011961887300233405,0.011961887300233405,0.059809436501167025,0.00956959200130337,0.00956959200130337,0.04784796000651685,0.007974697193509002,0.007974697193509002,0.03987348596754501,0.006835473959500488,0.006835473959500488,0.03417736979750244,-0.8738896962466545,-0.8738896962466545,-4.369448481233272,-0.999928454066698,-0.999928454066698,-4.9996422703334895,-0.948055801245879,-0.948055801245879,-4.740279006229395,-0.8620105169626844,-0.8620105169626844,-4.3100525848134215,-0.7775513689185723,-0.7775513689185723,-3.887756844592862,1.108700678834337
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046814117863636734,0.046814117863636734,0.23407058931818367,0.035116204311918586,0.035116204311918586,0.17558102155959293,0.02809504308828426,0.02809504308828426,0.1404752154414213,0.023413477339421847,0.023413477339421847,0.11706738669710923,0.020069181432440523,0.020069181432440523,0.10034590716220261,-0.888482968188623,-0.888482968188623,-4.4424148409431155,-0.9993832358983833,-0.9993832358983833,-4.996916179491916,-0.9419992470174773,-0.9419992470174773,-4.709996235087386,-0.8540812589423818,-0.8540812589423818,-4.2704062947119095,-0.7691610867240675,-0.7691610867240675,-3.8458054336203373,0.5192290708918412
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05937010118635179,0.05937010118635179,0.29685050593175893,0.04453903730091349,0.04453903730091349,0.22269518650456746,0.03563547431686018,0.03563547431686018,0.1781773715843009,0.029698150071129647,0.029698150071129647,0.14849075035564824,0.025456550310208714,0.025456550310208714,0.12728275155104357,-0.8941828200025839,-0.8941828200025839,-4.470914100012919,-0.9990076446936269,-0.9990076446936269,-4.995038223468135,-0.9394404901287196,-0.9394404901287196,-4.697202450643598,-0.8507943359090137,-0.8507943359090137,-4.253971679545068,-0.7657062144492971,-0.7657062144492971,-3.8285310722464856,0.7728722751831794
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07920030612678043,0.07920030612678043,0.39600153063390214,0.05942747044187493,0.05942747044187493,0.29713735220937465,0.04755206527927422,0.04755206527927422,0.2377603263963711,0.03963128851810464,0.03963128851810464,0.19815644259052323,0.033972036600226026,0.033972036600226026,0.16986018300113012,-0.902905130248202,-0.902905130248202,-4.5145256512410095,-0.9982326260731413,-0.9982326260731413,-4.991163130365707,-0.9352862474914889,-0.9352862474914889,-4.676431237457445,-0.8455293856150412,-0.8455293856150412,-4.227646928075206,-0.7601989782827799,-0.7601989782827799,-3.8009948914139,-1.9110520409471992
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08384707886207592,0.08384707886207592,0.4192353943103796,0.06291764194807874,0.06291764194807874,0.3145882097403937,0.05034608863335347,0.05034608863335347,0.25173044316676735,0.04196049527387015,0.04196049527387015,0.20980247636935073,0.03596894092960349,0.03596894092960349,0.17984470464801744,-0.9048993505200409,-0.9048993505200409,-4.5244967526002045,-0.9980187224354528,-0.9980187224354528,-4.990093612177263,-0.9342926194428666,-0.9342926194428666,-4.671463097214333,-0.8442824220924823,-0.8442824220924823,-4.221412110462412,-0.7588992979362996,-0.7588992979362996,-3.794496489681498,-3.345261594902885
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08531323325634955,0.08531323325634955,0.42656616628174776,0.06401898727707186,0.06401898727707186,0.32009493638535935,0.051227805563092865,0.051227805563092865,0.2561390278154643,0.042695549449828125,0.042695549449828125,0.21347774724914062,0.036599137297734285,0.036599137297734285,0.18299568648867143,-0.905524647774022,-0.905524647774022,-4.52762323887011,-0.9979486806785297,-0.9979486806785297,-4.989743403392649,-0.933977510856739,-0.933977510856739,-4.669887554283695,-0.8438879258462557,-0.8438879258462557,-4.219439629231278,-0.7584884877338411,-0.7584884877338411,-3.7924424386692057,-2.1495996369731976
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09015191536112707,0.09015191536112707,0.4507595768056354,0.0676541439711552,0.0676541439711552,0.338270719855776,0.054138207305012974,0.054138207305012974,0.2706910365250649,0.04512191490526227,0.04512191490526227,0.22560957452631134,0.03867941185871427,0.03867941185871427,0.19339705929357134,-0.9075749281828709,-0.9075749281828709,-4.537874640914355,-0.9977088336802127,-0.9977088336802127,-4.988544168401063,-0.9329321200404528,-0.9329321200404528,-4.664660600202264,-0.8425823888180674,-0.8425823888180674,-4.212911944090337,-0.7571301968918845,-0.7571301968918845,-3.785650984459423,0.43994086349049244
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09101496066464596,0.09101496066464596,0.4550748033232298,0.06830259653050579,0.06830259653050579,0.34151298265252894,0.054657402251599804,0.054657402251599804,0.27328701125799904,0.04555477336531293,0.04555477336531293,0.22777386682656467,0.039050534709209654,0.039050534709209654,0.19525267354604828,-0.9079384675431316,-0.9079384675431316,-4.539692337715658,-0.9976646507254785,-0.9976646507254785,-4.988323253627392,-0.932744779395786,-0.932744779395786,-4.66372389697893,-0.8423489462697777,-0.8423489462697777,-4.2117447313488885,-0.756887520165859,-0.756887520165859,-3.7844376008292953,-2.3861185917332115
